fast,slow,mid,trades,win_rate,net_profit,profit_factor,max_dd
6,35,30,4714,18.03139584217225,-87.67192056621428,0.9925840944331399,647.5619760610543
6,40,10,4397,18.012281100750513,-815.8693496657893,0.9279428055949349,990.5748611329993
6,40,15,4394,18.001820664542556,-772.7173224818074,0.9313847812484402,963.9226061413872
6,40,20,4358,17.852225791647545,-964.9080843702043,0.9140359242029064,1088.0433834908504
6,40,25,4349,18.02713267417797,-669.7107629813102,0.9397557121905612,897.5969901599544
6,40,30,4355,18.07118254879449,-746.2361790854798,0.9332976454104286,994.8773604709968
6,45,10,4129,18.7696778881085,-187.81623262381032,0.9823074846253542,444.3676232463881
6,45,15,4090,18.82640586797066,-82.88982282206393,0.9920853711638368,456.20205942422353
6,45,20,4041,18.732986884434546,-100.58337073468095,0.990275090831592,511.81666966871535
6,45,25,4020,18.80597014925373,-11.272503525897491,0.9989013156573305,471.76219720655536
6,45,30,4007,18.692288495133518,-183.73803740257824,0.9822036333036384,490.2963043974423
7,20,10,6628,19.342184671092337,-561.9577201136597,0.9664776430188631,1351.7734661378272
7,20,15,6674,19.163919688342823,-643.267644879875,0.9618050530640693,1296.1457130720478
7,25,10,5655,19.29266136162688,-112.60267590178506,0.9920414539319691,828.490060386986
7,25,15,5689,19.15978203550712,-113.60868266909262,0.9919966477349856,850.4443686745383
7,25,20,5668,19.089625970359915,-163.25681971194194,0.9885274361565749,902.9241511496361
7,30,10,4946,19.16700363930449,-498.04081606463456,0.9601894153332006,1178.427123422607
7,30,15,4987,18.98937236815721,-568.9678363866669,0.9549556875595699,1151.0281886211833
7,30,20,4978,19.043792687826436,-378.0671742075688,0.9700257733304746,1016.9015765337847
7,30,25,4934,19.173084718281313,-182.592190315212,0.9854078754932237,863.8795048905151
7,35,10,4474,18.17165847116674,-374.7142531809206,0.9665631007457195,776.0488744600473
7,35,15,4498,18.141396176078256,-418.6011136029035,0.96286907761028,836.5851212981986
7,35,20,4483,18.224403301360695,-382.3951402720549,0.9660636901303793,799.8139888853154
