fast,slow,mid,trades,win_rate,net_profit,profit_factor,max_dd
9,45,30,3507,34.87311092101511,4601.909999999993,1.2232612498799251,646.7799999999979
10,20,15,6170,38.93030794165316,7265.35,1.2749583135592384,447.97999999999956
10,25,15,5127,38.11195630973279,7239.480000000006,1.2999435700986162,558.8500000000013
10,25,20,5141,38.22213577125073,7154.980000000005,1.295199599633135,572.7599999999984
10,30,15,4353,37.00895933838732,6771.610000000011,1.2986834148379052,1193.2799999999988
10,30,20,4368,37.01923076923077,6531.820000000009,1.2843915585800931,1193.2799999999988
10,30,25,4320,37.15277777777778,6571.090000000009,1.288797229412877,1193.2799999999988
10,35,15,3982,35.73581115017579,4658.319999999993,1.2060547993801969,1078.2400000000007
10,35,20,3995,35.669586983729666,4724.109999999992,1.2084318515632684,1068.7399999999998
10,35,25,3967,35.77010335265944,4761.609999999993,1.2117555761606484,1068.7399999999998
10,35,30,3936,35.823170731707314,4894.379999999992,1.218349674084655,1039.7400000000007
10,40,15,3652,35.13143483023001,4194.219999999985,1.1894493879579018,982.6400000000067
10,40,20,3665,35.11596180081855,4217.509999999987,1.1899856300480645,1011.1800000000067
10,40,25,3671,35.14028874965949,4303.359999999986,1.1940242990258108,1011.1800000000057
10,40,30,3663,34.998634998635,4113.249999999984,1.1850945193662432,1026.270000000006
10,45,15,3369,35.826654793707334,3997.5700000000033,1.1954197062718488,786.9699999999975
10,45,20,3406,35.64298297122725,4628.920000000003,1.2246154443376907,754.4099999999999
10,45,25,3394,35.73954036535062,3904.480000000003,1.1892366471039546,746.2600000000002
10,45,30,3389,35.8512835644733,3343.1500000000033,1.1619609034329037,710.1500000000005
11,20,15,6104,38.777850589777195,5774.559999999991,1.216960584557015,635.700000000003
11,25,15,4951,38.41648151888507,7611.049999999994,1.3299890958202087,474.5200000000009
11,25,20,4976,38.64549839228296,7794.099999999993,1.3359816949658134,513.8600000000024
11,30,15,4259,37.45010565860531,6362.329999999996,1.288291974507285,736.8499999999976
11,30,20,4294,37.40102468560782,6420.419999999995,1.2867140830371482,736.8499999999976
11,30,25,4249,37.32642974817604,6264.859999999997,1.281813851156677,736.8499999999976
11,35,15,3829,35.857926351527816,5003.819999999992,1.2262268978266695,1020.3800000000019
11,35,20,3869,36.02998190746963,5109.8599999999915,1.2295473749797285,978.0899999999992
11,35,25,3858,36.00311041990669,5123.739999999991,1.2309421375852156,980.7300000000014
11,35,30,3832,36.03862212943633,5098.539999999991,1.2303875052642799,992.5700000000015
11,40,15,3538,36.09383832673827,4142.069999999995,1.1930605641542646,1025.3099999999986
11,40,20,3566,35.83847448121144,3980.7899999999936,1.1827684475707867,1214.5699999999997
11,40,25,3578,35.578535494689774,3912.669999999993,1.1793245589953307,1214.5699999999988
11,40,30,3574,35.61835478455512,4145.049999999994,1.1913399962240232,1032.0499999999993
11,45,15,3248,36.176108374384235,3613.680000000014,1.1775255541041567,771.4299999999976
11,45,20,3297,35.881104033970274,4236.630000000014,1.2059856278807455,657.2999999999975
11,45,25,3300,35.666666666666664,4260.650000000014,1.207001712119122,657.2999999999975
11,45,30,3301,35.71644956073917,3512.390000000013,1.1700431886916414,635.1199999999972
12,20,15,6007,39.73697353088064,6104.16,1.234686113628316,595.7600000000011
12,25,15,4828,38.4009942004971,7253.210000000003,1.31796691188236,463.74999999999545
12,25,20,4881,38.250358533087486,7004.490000000003,1.3019301660758382,511.3300000000004
12,30,15,4138,37.4818753020783,6193.489999999994,1.2818412657962874,788.5
12,30,20,4189,37.50298400572929,6439.319999999996,1.2900555397900024,788.5
